2015-06-15 13:59:21,821 | WARN  | Transport Connection to: tcp://127.0.0.1:59619 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:59619
2015-06-15 13:59:21,823 | WARN  | Transport Connection to: tcp://127.0.0.1:59623 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:59623
2015-06-15 13:59:21,823 | WARN  | Transport Connection to: tcp://127.0.0.1:59622 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:59622
2015-06-15 13:59:21,822 | WARN  | Transport Connection to: tcp://127.0.0.1:59621 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:59621
2015-06-15 13:59:21,821 | WARN  | Transport Connection to: tcp://127.0.0.1:59620 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:59620
2015-06-15 14:02:35,378 | WARN  | Transport Connection to: tcp://127.0.0.1:60769 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:60769
2015-06-15 14:02:35,381 | WARN  | Transport Connection to: tcp://127.0.0.1:60772 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:60772
2015-06-15 14:02:35,379 | WARN  | Transport Connection to: tcp://127.0.0.1:60770 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:60770
2015-06-15 14:02:35,383 | WARN  | Transport Connection to: tcp://127.0.0.1:60771 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:60771
2015-06-15 14:02:35,381 | WARN  | Transport Connection to: tcp://127.0.0.1:60773 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:60773
2015-06-15 14:10:10,994 | WARN  | Transport Connection to: tcp://127.0.0.1:61819 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:61819
2015-06-15 14:10:10,996 | WARN  | Transport Connection to: tcp://127.0.0.1:61823 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:61823
2015-06-15 14:10:10,995 | WARN  | Transport Connection to: tcp://127.0.0.1:61821 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:61821
2015-06-15 14:10:10,995 | WARN  | Transport Connection to: tcp://127.0.0.1:61820 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:61820
